audio_id	sentence
Voice145	किशोर राडीमा लेटी-लेटी सुनिरह्यो, जेलका बिभिन्न ध्वनिहरू जब कि सबभन्दा उपर चढेको हुन्थ्यो चौकीदारहरूको गर्जन- होशियार ! होशियार!
Voice146	अन्तर्कलहले गर्दा चर्किदैं र ढल्दै गरेको देखे; त्यसबाट संसारमा सूर्य नअस्ताउने देशका रूपमा उपनिवेश फैलाउँदै गरेको ।
Voice147	यहाँ रङ्गीबिरङ्गी चरा चुरुङ्गीहरूका मीठा गीत जस्तै धेरै किसिमका भाषा छन्।
Voice148	त्यसैगरी हामीले पनि आफ्ना कर्तव्यहरू इमानदारी पूर्वक गरेर कर तिर्ने देखि लिएर बिजुली, खानेपानीको पैसा पनि समय मे दिई असल उदाहरण बन्नुपर्छ।
Voice149	बिहानले दिनको संकेत गर्छ भनेझैँ विद्यार्थी जीवनले मानिसको भविष्य राम्रो वा नराम्रो के हुने भन्ने कुराको संकेत गर्दछ।
Voice150	हामी सबै देशका र समाजका सच्चा नागरिक हौ भने यस्ता समस्यालाई मिलिजुली सुल्झाउनुपर्छ।
Voice151	त्यसरी नेपाली भाषाले हरेक क्षेत्रमा प्रगति गर्न सकेको छ।
Voice152	यो पनि त यहाँ अन्त्य नहुने गरी चारैतिर फैलिएको छ; र यसको आकृतिमा कनै पनि परिचयको सानो झल्को पनि पाइँदैन।
Voice153	यस दिन प्राय: घरघरमा सेल तथा अन्य मीठा-मीठा परिकारहरू पकाई खाने प्रचलन नेपालीहरूमा चलेको छ।
Voice154	त्यसैले पत्रपत्रिकाहरू पढ्नु मानिसको राम्रो बानी हो र यस्तो बानीले यसलाई सधैँ फाइदा नै हुन्छ, पत्रपत्रिकाहरू सञ्चारका भरपर्दो साधन हुन् ।
Voice155	स्रोतका अनुसार एसी कोटेसन प्रक्रियाद्वारा खरिद गरिएको हो ।
Voice156	अनि भैलो खेलेबापत घरमूलीले श्रद्धाले दिएका सेल, रुपैयाँ आदि लिई उनीहरू रमाउँछन्।
Voice157	त्यसो भएमा नेपाली संस्कृति सदैव निर्मल र अनुकरणीय बन्ने छ।
Voice158	प्रकृतिले पनि नियमको पालन गरेको पाइन्छ।
Voice159	पृथ्वी सबैकी आमा होलिन्‌, तर त्यस दिन ती वृद्धाले मलाई मायाको इशारा गरिनन्‌; स्नेह स्निग्ध दृष्टिले सम्म यसो मलाई हेरिनन्‌ ।
Voice160	दुई देशबीचको सम्बन्ध विश्व सुरक्षाका लागि खतरनाक भएको बताएका छन् ।
Voice161	त्यसै गरी केटोहरूले घरघर गई देउसी खेल्ने दिन पनि यही हो।
Voice162	अचेल नेपालीहरुले विदेशीहरुलाई पाहुना ठान्ने र आवश्यक सेवाशुल्क लिई उनीहरुको आदर-सत्कार गर्ने नयाँ चलन अँगालेका छन् तापनि ।
Voice163	बाहिर त्यो देहातको बिस्तृत जगत्‌मा, अबाध गतिले बगिरहेको हावाको त्यो मुलुकमा जहाँ सूर्य अविरल रूपले चारैतिर प्रकाश ओडइरिरहेका छ।
Voice164	नारीहरु पीडित ,प्रताडित ,दलित ,दंशित हुनु रहनुमा अशिक्षा ,अवसरको कमी आदी ले भूमिका खेलेको छ् र म पनि मान्छु ।
Voice165	राजनीति गर्नेहरु अनुशासनहीन भए पनि त्यसको असर सिङ्गो राष्ट्रलाई पर्दछ, सम्पुर्ण जनतालाई पर्दछ, वित्तीय क्षेत्रमा अनुशासन भएन भने कुनै राष्ट्र चल्दैन ।
Voice166	यो कथित 'दिवस' प्रती मेरो घोर आपत्ति छ ,यसलाई मैले नौटंकी नाम दिंदा कसैको भावनामा ठेस लाग्छ भने धिक्कार छ ति स्वांठ कथित शिक्षित भनौदाहरुलाई।
Voice167	विश्वमा मेरो देश 'सगरमाथाको देश' भनेर नामले समेत चिनिन्छ।
Voice168	समेट्ने खेलको सामग्रीहरू छापिएका हुन्छन्, यी विभिन्न विषयमा जानकारी हासिल गरेर हरेक क्षेत्रमा अगि बढ्न सजिलो हुने भएकोले आधुनिक युगमा पत्रपत्रिकाको महत्व छ।
Voice169	सुरका पुकारहरूको सम्मिलित ध्वनि, त्यसैले हृदयको कानमा एउटा मीठो बर्षा गराइरहेको छ ।
Voice170	एउटा पुरानो मुद्दामा अख्तियारले विशेष अदालतमा मुद्दा दर्ता गरेपछि असारको अन्तमा उनी निलम्बनमा परेका थिए ।
Voice171	काशीमा माटोलाई घेरेर राखेको छ, दुई-तीन पुष्पबाटिकाहरूमा र केही सौखिन नागरिकहरूको घरमा सजाइएर लाममा राखिएका गमलाहरूमा ।
Voice172	उनले नेपालको भौगोलिक एकीकरण मात्र नगरी संस्कृतिक र भावनात्मक रूपमा पनि नेपाल र नेपालीलाई एक परेका हुन्।
