audio_id	sentence
Voice513	सैनिकले शस्त्रास्त्रले सुसज्जित भएर राष्ट्रिय अखण्डताको पहरेदारको भूमिका निर्वाह गरेका हुन्छन्।
Voice514	पछिल्लो समय पालिकाले तोकआदेशमै दश जनालाई दैनिक ज्यालादारी कर्मचारीको रूपमा नियुक्त गरेको थियो।
Voice515	यस्तो हुन सक्यो भने गाउँका मानिसले बिस्तारै त्यहाँ भएका पुस्तकहरु पढ्न थाल्छन र केहि ज्ञान प्राप्त गर्छन।
Voice516	रुसले इरानलाई दिने सैन्य सहयोग बढ्नेमा अमेरिका र बेलायत सहमत रहेका उनले बताए ।
Voice517	थुनिएपछि उसले सुन्यो कि राधाले छोरो नै पाई ।
Voice518	हामी उनीहरूलाई छिमेकी, मित्र र आफन्तलाई प्रभाव पार्न चाहन्छौं।
Voice519	यसको कारणले हाम्रो देश नदीको गतिमा विकासमा लाग्ला।
Voice520	‘इन्धनमा त मनलाग्दी खर्च छ,’ पालिकाका एक कर्मचारीले भने, ‘पालिकाको सवारी साधनभन्दा आफन्त र नजिकका मान्छेलाई दिइने इन्धन बढी छ ।
Voice521	यो बिरानो घरमा उ पनि चुप लागेर बसिरहन्थी र केही सोध्यो भने आफ्ना ठूला-ठूला आँखा उठाएर हेर्थी ।
Voice522	कस्तो अनुद्धिगन छ उसको मन- एकदम भावनाशून्य भएको छ उसको हृदय- धोइएर, पुछिएर चोखो ।
Voice523	साहोडको भ्याङ जसबाट राम्रा-राम्रा दतिउन काटिन्छन्‌, बकाइनो जो नीमको रूख होइन, पटेर र झाडका जङ्गल जो कोशीका दुवै किनारामा छन्‌।
Voice524	यसको गौरव हामी सबै गौरव हो।
Voice525	हामी नेपालीले आफ्नो ज्ञानले सबैलाई पवित्र बनाउनुपर्छ।
Voice526	आज यो आधुनिक युगमा मानिस आफ्नो स्वार्थ र कमाउनको लागि अरुलाई मार्ने काम गरछन् ।
Voice527	नेपाली सर्वप्रथम पुस्तकालयको निर्माणमा अगाडि बढाउने मान्छे जोन उड हुन्।
Voice528	यस चाडमा गरिने पूजा र हरेक क्रियाकलापले हामीलाई सत्मार्ग लाग्ने प्रेरणा दिन्छन्।
Voice529	हाम्रो देश नेपालमा दश प्रतिशत व्यापारीले पनि राम्ररी कर तिर्दैनन् र यसको परिणाम पनि हामीले नै भोग्ने गर्छौ।
Voice530	कार्तिक कृष्णपक्षको त्रयोदशी तिथिका सुनसान अँधेरी रातमा घन्किएको मेरो चिच्याहाट सुनेर छिमेकीहरूलाई साथ दिइरहेकी एकछिनका लागि बेपत्ता भएकी थिइन।
Voice531	ति बिचरा साँच्चैका अवसर बाट वन्चित र अशिक्षित नारी को त्यहा उपस्थिती हुनेछ / भएको छ ।
Voice532	कति विश्वास र भरको ढुकुटी लिएर मेरा लागि बसिरहेका थिए ती उड्न लागेका राता-काला बुट्टाहरू ।
Voice533	यो ठूलो रूख पाकडको रूख हो ।
Voice534	अनि अङ्ग्रेजी पनि पढ्न थाली- ए. बी. सी. डी.!
Voice535	प्रहरीसेवा र सेनामा त् अनुशासन नभई हुँदैन, तसैले यी क्षेत्रमा अनुशासनको कडाइक साथ पालना गरिन्छ, यी विभिन्न क्षेत्रमा अनुशासनको पालना नहुने हो ।
Voice536	एसियाका दुई ठुलो राष्ट्र भारत र चीनको बिचमा रहेको मेरो देश नेपाल रहेको छ।
Voice537	कहिले पैसा चोरेको कारणले झगडा गर्छन र कहिले उटपटयाङ काम गर्ने गरछन्।
Voice538	तर उ यति सानी थिई कि केके कुरा गर्ने उसँग ?
Voice539	किशोर फेरि एक्लै भयो कोठामा ।
Voice540	उस दिन खास गरी गाई-गोरुका गोबरबाट पहाड जस्तो बनाई त्यसैलाई गोवर्धन पर्वत मानेर पूजा गर्ने गरिन्छ।
Voice541	मेरो देश मेरो लागि गौरव हो किनकि यहाँ बार्है महिना बग्ने खोला-नाला छन् भने शान्तिको चिन्ह गौतम बुद्धको जन्मस्थल हो।
Voice542	संसारका धेरै मानिसहरू निरन्तर पर्वतारोहण गरीरहन्छन।
Voice543	बनारसको पसल यहाँ कहाँ ? मिश्ची, छोहोरा, नरिवलका टुक्रा, राता, हरिया र काला रङ्गका मोटा- मोटा चुराहरू मात्र थिए त्यसको पसलमा ।
Voice544	धनकी देवी लक्ष्मीले कृपा गरिन् भने भइन्छ भन्ने विश्वास सबै हिन्दूहरूमा रहेको छ।
Voice545	जस्तै-प्रिथिवी नारायण शाह,बलभद्र कुँवर आदि।
Voice546	नेपाल गरिब मुलुक हो तर वनमा धनी छ।
Voice547	एक दिन उसले दुलहीलाई भन्यो साँझतिर- राधा !
Voice548	अझै हाम्रो समाजमा हाम्रो राम्रो परम्परा र संस्कृतिलाई भुलेर पराइको संस्कृतिलाई आँखा चिम्लेर पचाउने केही छन्।
Voice549	सरकारले देशलाई हाम्रै पैसाले चलाउँछन्।
Voice550	भ्रस्टाचार समाजको अर्को समस्यो हो।
Voice551	देहातको बिराट्‌ शून्यताको स्वयं एउटा हिस्सा भएर मेरो कलिलो हृदयलाई कनै सान्त्वना दिँदैन ।
Voice552	विश्वमा नेपाललाई चिन्नेले हामी नेपालीलाई पनि चिन्दछ।
Voice553	यस देशलाई सबैले आफ्नो साझा फूलबारी भनेका छन् र सबैले यसको हेरचाह पनि गरेकै छन्।
Voice554	यहाँको यो ह्वाङ्ग खुला विराटतामा जसमा आधारका लागि केही कुरा पाइँदैन- दृष्टिसम्म कहीं अड्किन पाउँदैन, हराइएला जस्तो भय हुन्छ ।
Voice555	“असम्भव भन्ने कुरो मूर्खहरूका शब्दकोशमा मात्र हुन्छ” भन्ने नेपोलियनको भनाइ पृथ्वीनारायणको जीवनमा पनि चरितार्थ भयो।
Voice556	जसमा अनेकानेक रङ्गका फूलका बिरुवाहरू सजाइएका छन्‌, सानो हावामा पनि चञ्चल भएर शिर हल्लाउन थाल्छन्‌ मानौं उत्साहको लहर तिनीहरूमा फैलिन पुगेको छ ।
Voice557	सोह्र मध्ये पाँच वटा ल्वाइड कम्पनिको, एउटा एलजी तथा दश वटा पानासोनिक कम्पनिको छ ।
Voice558	त्यो धारमा धेरै किसिमका माछा पाइन्छन्‌- रोहु, बुहारी, कतला, काँटी, सिंगी, मुंगरी, बामी ।
Voice559	मैले भोलिपल्ट त्यही दिएर उसका प्रति आफ्नो आदर र कृतज्ञता ज्ञापन गर्न चाहेँ ।
Voice560	विलासिताको साधनमा गणना हुने एसी खरिद गर्न पनि नगरपालिकाले अठार लाख रुपैयाँभन्दा बढी खर्च गरेको छ ।
Voice561	इज्जत थुपार्छ यसले हामी सबैको ।
Voice562	लक्ष्मीपूजाकै दिन नेपाली भाषा र साहित्यका शिखर पुरुष लक्ष्मी प्रसाद देवकोटाको पनि जन्मजयन्ती पर्ने भएकोले यस दिन वा यसकै वरपरका दिनमा हाम्रो देश ।
Voice563	म पनि ठूलो हुन्छु- धेरै पढ्छु ।
Voice564	यहाँको वायु पनि त्यस्तै निर्गन्ध, काशीको हावामा नाना किसिमका गन्ध लादिया हुन्थे, नाला-पनालाको गन्ध,
Voice565	उसले विदेशमा पनि कलेजमा पढ्ने विद्यार्थीहरूको एउटा संघ बनाएको थियो जहाँ नाना बिषयमा छलफल हुन्थे- प्रजातन्त्र; मार्क्सवाद; स्वतन्त्रता; समाज र व्यक्ति आदि विषयहरूमा ।
Voice566	अनि एकछिनपछि त्यसै लहडमा सोधेको जस्तो गरी किशोरले भन्यो- तिमीलाई पहिलो सन्तान छोरा कि छोरी, के मन पर्छ !
Voice567	जल-सम्पदाका हिसाबले मेरो देश विश्वकै ब्राजिलपछि दोस्रो जलधानी देश र एसिया महादेशमा पहिलो जलधनी देशका रुपमा चिनिन्छ।
Voice568	धेरैजसो व्यक्तिहरूले पर्वतारोहणमा नयाँ कीर्तिमान कायम गरेर आफ्नो नाम पनि खाँसै राखेकै छन्।
Voice569	यस्ता चलनको कारणले गरिब घरका छोरीहरुको बेहे भइरहेको छैन।
Voice570	हामीहरू कुद्दै पुग्यौं नजरियाकहाँ ।
Voice571	उपत्यकाका राजाका सहयोगमा आएको अंग्रेज सरदार किनलोकलाई उनले सिन्धुलीमाडीमै धूलो चटाएर लखेटिदिए; ।
Voice572	यी हामी सबै नेपालीको प्यारो देश हो र यसलाई हामीले आफ्नो प्राणभन्दा प्यारो ठानेका छौँ।
Voice573	कतिपय त् यसलाई पेसाकै रूपमा पनि अँगालेको पाइन्छ।
Voice574	तर यो प्राय अविकसित गाउँहरुमा गर्ने चलन हो।
Voice575	ती मध्ये एक खतरनाक र अहिले बढी मात्रामा चलिरहेको समस्या लागु पदार्थ हुन्।
Voice576	गङ्गाजीपारिको बालुवाको गन्धले भरिएको विचित्र आत्मीयताको न्यानो लिएर बग्ने बनारसको हावा यहाँ छैन ।
Voice577	पुस्तकालय एक मन्दिरका रुपमा लिइन सकिन्छ किनभने एसले हामीलाई सचाई र सत्य बाटोमा लाउन सक्छ,यदि तिमीले यसमा भएको ज्ञानलाई सही उपयोग गर्यो भने।
Voice578	त्यसैले हामीले गाउँलाई सहरमा परिवर्तन गर्नु छन् भने सरकारी पुस्तकालय बनाउन सरकार संग माग गर्नुपर्छ।
Voice579	यस देशलाई सबैले आफ्नो साझा फूलबारी बनेका छन् र सबैले यसको हेरचाह पनि गरेकै छन्।
Voice580	काजलको आकाशमा एकनाससँग सलमा सितारा झल्केका हेरिदिने कोही छैन ।
Voice581	मानिसले स्वतन्त्रता पाएमा जे पनि गर्न सक्छन्, मानिसले चाहेको हरेक कुरा स्वतन्त्रता पछि पाउन सक्छन्।
Voice582	हत्केलाले मुख र नाकलाई पुछ्दै स्वाँ... स्वाँ गर्दै उसले भनी- म पर्छ्वारेया (पश्चिमपट्टिको) धारमा नुहाइरहेकी थिएँ ।
Voice583	त्यस्तै नेपाली संस्कृति सबै नेपालको समुन्नति चाहने साझा भावना हो।
Voice584	पश्चिमपट्टि एउटा ठूलो धूपीको रूख थियो ।
Voice585	त्यस कारणले हामीले सक्ने काम गरेर देशको अवस्थालाई अझ गतिलो बनाउनुपर्छ।
Voice586	नेपाली संस्कृतिमा केही विकृतिहरू पनि रहेको छ।
Voice587	पुस्तकालयले हाम्रो जीवनलाई अर्थ दिने गर्छन।
Voice588	नेपालमा एक पछि एक वीरहरूको जन्म भएको छ।
Voice589	सो वैवाहिक सम्बन्धमा समस्या बल्झेपछि बनारसका राजपूत अभिमानसिंहकी छोरी नरेन्द्रलक्ष्मीसँग बिहे गरेका थिए।
Voice590	मानिसको जीवनमा सबैभन्दा सुखको क्षण यसको बाल्यकाल नै रहेछ भन्ने कुरा मैले अहिले आएर थाहा पाए।
Voice591	वातावरण सुधार गर्नका लागि क्रियाकलापहरू बढाउन र महत्त्वपूर्ण रूपमा आफ्ना प्रियजनहरूसँग गुणस्तरको समय खर्च गर्छन्।
Voice592	नजरियाको एउटा सानो छाप्रो मात्र थियो ।
Voice593	यदि प्रकृति अनुशासनमा रहेन भने मानवजीवनको अस्तित्व नै संकटमा पर्दछ, प्रकृतिमा पाइने यस्तो अनुशासन मानिसका लागि प्रेरणादायी बनेको छ।
Voice594	यदि आमाले बोलेको नसुनेको भए यो ध्वनिहीन लोकमा त्यसै प्राणान्त हुने थियो ।
Voice595	नेपाली संस्कृतिमा केही विकृतिहरू पनि रहेको छ।
Voice596	यसलाई कम नगरेसम्म जस्तोसुकै व्यवस्था आए पनि र जोसुकैको नेतृत्व भए पनि देश अगाडि बढ्दैन  सामान्य रुपमा भ्रस्टाचार भनेको घुस लेने वा दिने हो।
Voice597	जंगल जंगली जनावर, पक्षीहरूको आरक्षण पनि हो।
Voice598	तृण, तरु, लता, गुल्मी साराका सारा बर्बर, असंयम बाढमा हुर्केका छन्‌ ।
Voice599	उहाँ बाल्यकालमा पढाईमा कमजोर थिए तर उहाँलाई गणित र विज्ञानमा रुची थियो।
Voice600	आधुनिक युगमा पत्रपत्रिकाले खेल्ने भूमिका ज्यादै प्रभावकारी देखिन्छ, अहिले पत्रपत्रिका विना कुनै पनि क्षेत्रको विकास हुन् सम्भव छैन, ।
Voice601	नारी सम्बन्धित अप्रिय घटनाहरु को नब्बे प्रतिशत कारण नारी शिक्षाको कमी र नारी चेतनाको कमीले नै हुन्छ्न।
Voice602	गत वैशाख तिस मा सम्पन्न स्थानीय तहको निर्वाचनवाट निर्वाचित नगरप्रमुख भीमराज यादवमाथि।
Voice603	नेपाली भाषा नेपालको राष्ट्रभाषा हो।
Voice604	गरिब र असहायलाई हेप्ने, नोकर बनाउने सामन्तवादी सोचबाट मुक्त भएको छैन।
Voice605	पढाइ सुरु गरेपछि मैले आफ्नो खेल्ने समयमा कटौती गरी त्यसलाई पढाइमै लगानी गरे।
Voice606	घर फर्किदा- लुगामा धूलो, हिलो, कानमा कनेलको सेतो, पहेँलो फूल, हातमा झाडका पातला सिरकना र अमरबेलीको पहेँलो लहरा।
Voice607	यहाका मनमोहक प्राकृतिक दृश्य हेर्न पाउँदा विदेशी पर्यटकहरुको मन निकै आनन्दित हुन्छ।
Voice608	म जंगलबाट यी फलफूलहरू घरमा ल्याउथे अनि भोलिपल्ट बिद्यालय लिएर जान्थे र आफ्ना साथीहरूलाई दिन्थे।
Voice609	काशीको मुख्य क्रा हो, त्यहाँका ढुङ्गा, पत्थर जो यहाँ आएर मेरो बालक मनमा तीक्ष्ण अनुभवको रूपमा बारम्बार प्रकट।
Voice610	विसर्जन वाक्य त केही भन्नैपर्छ ।
Voice611	युक्रेनविरुद्ध प्रयोग गर्न रुसलाई ड्रोनहरू आपूर्ति गरेको भन्दै अस्ट्रेलियाले एक व्यवसाय र तीनजना इरानी नागरिकलाई प्रतिबन्धको घोषणा गरेको छ ।
Voice612	आज हरेक स्कुलमा पुस्तकालय ।
Voice613	फूलबारीमा सयपत्री, गुलाफ, कमल, कमल,बेली, चमेली, जाई,जुही आदि हुन्छन्।
Voice614	अरू जाडाका रात्रिसरह नै त्यो रात्रि पनि थियो । जीवनको कार्यरतता एकदम थामिएर अडेको मानौं तमाम विश्व स्पन्दनहीन भएको छ ।
Voice615	यस दिन साँझपाखदेखि नै घर, गोठ, जताततै बत्ती बालेर झिलिमिली पारिने हुनाले यस दिनलाई तिहारको महत्त्वपूर्ण दिन मानिन्छ।
Voice616	किनभने बाढी र पहिरोलाई रोक्ने गर्छ।
Voice617	गर्मी र जाडो मौसम पनि नियमनुसार नै आउँछन्।
Voice618	बिहे गरेर जब उसले एउटी सानी केटीलाई घर लिएर आयो, उसलाई लाग्यो, उसलाई म आफ्नो रूपमा ढाल्छु ।
Voice619	भने स्थिति डरलाग्दो गम्भीर हुन् गई मानवजीवन नै अस्तव्यस्त बन्न पुग्दछ, बिद्यार्थी जीवनमा अनुशासनको ज्यादै महत्त्व रहन्छ, अनुशासनईन बिद्यार्थीको ।
Voice620	गोसाईस्थान एउटा बाबाजीको अखडा थियो ।
Voice621	उनले राष्ट्रियताको सुदृढ स्तम्भ उभ्याउँदै नेपाल आमाको छिया-छिया परेको मुहारलाई मुस्कान भरेका हुन् र उनको मलिन अनुहारमा खुसीको प्रकाश छरेका हुन्।
Voice622	यस दिन गोरुका अतिरिक्त खेतीपातीका लागि नभई नहुने हलो, जुवा आदि जस्ता साधनहरूको पनि पूजा गर्ने प्रचलन छ।
Voice623	त्यसै गरी यहाँक वराह क्षेत्र, मुक्तिक्षेत्र र गोसाइँकुण्ड जस्ता ठाउँहरु पवित्र तीर्थस्थल मानिन्छन।
Voice624	करार र दैनिक ज्यालादारीका कर्मचारीको भारका कारण आर्थिक ब्ययभार बेर्होनु परिरहेको पालिकाले इन्धनमा गरेको भुक्तानी अत्याधिक छ ।
Voice625	वासिङ्टन, किभ — अमेरिकाले इरानले रुसका लागि प्रमुख सैन्य सहयोगीका रूपमा भूमिका निर्वाह गरिरहेको दाबी गरेको छ ।
Voice626	उसले भनेको थियो टाउको हल्लाएर- केही खान मन छैन ।
Voice627	जवानीले नछाडेका र बुढ्याइँले नछोएका युवा-युवतीहरूको समुदायले नै देश विकास जस्तो गुरुतर जिम्मेवारीलाई सहजतासाथ वहन गर्न सक्दछ।
Voice628	मन टुहरो हुन्छ, घबडाहटले आमाकहाँ टाँस्सन पुग्छ, त्यो भयभीत बालक ।
Voice629	सरकारले पनि नङ्गा पाखा, डाहामा वृक्षारोपण गरेको छ।
Voice630	तर हत्याका लागि होइन, चेतावनीका लागि कि युवकलाई स्थिति असैध्य हुन लागिरहेको छ ।
Voice631	रूखा, साना-साना जर्घ्व-केश चौंरी गाईको चमरजस्तो कडा र खस्रो थियो जसको टुप्पो सुकेको परालको जस्तो धृमिल पीतवर्णको थियो ।
Voice632	अर्कोतर्फ, ती व्यक्तिहरूले बुझ्नका लागि उनीहरूलाई मात्र उनीहरूको आवश्यकताहरूमा ध्यान केन्द्रित गर्नुपर्छ र हरेक भौतिकवादी ।
Voice633	पहिलो पटकको पराजयले उनलाई हताशा होइन विजयका लागि नयाँ पाठ सिकायो।
Voice634	त्यसैले विविधता बीच सय थरी बाजाबाट पैदा हुने एउटा मनोहर तालसँग पनि तुलना गरिन्छ।
Voice635	निरीह भएर दुब्लो निर्वर्ण अनुहारमा चम्किने केवल दुई चल्षुले यो देहातको विराट्‌ संसारलाई हेर्छ ।
Voice636	उहाँहरुले देशका लागि केही न केही योगदान दिएर गएका हन्।
Voice637	फेरि गाउँको कत्रो प्रशान्त नीरवता ।
Voice638	बाँकी कारणले गर्दा समयमा वर्ष भई खेतीपाती हुने गर्छ।
Voice639	खाजा खानासाथ मलाई लिएर ग्राम दर्शनमा उ हिँडी ।
Voice640	युक्रेनी अधिकारीले पछिल्लो समय आफ्नो भूभागमा आक्रमण गर्न रुसले इरानमा निर्मित ड्रोनहरूको प्रयोग गरिरहेको बताउँदै आएको छ ।
Voice641	निराशा र कुण्ठ जागृत हुन् नदिई दलीय र व्यक्तिगत स्वार्थभन्दा माथि उठी राष्ट्रिय स्वार्थमा उनीहरूलाई प्रयोग गर्दा राष्ट्रको कायापलट नै हुन् गएको छ।
Voice642	मेरो देश विश्वका साना देशहरुमध्ये एउटा हो तापनि यसको नाम विश्वभरि नै फैलिएको छ।
Voice643	पहाड चढ्दा व्यायाम पनि हुने भएकोले पर्वतारोहण गर्नेहरुको शरीर स्वस्थ अनि तन्दुरुस्त बन्न पुग्दछ।
Voice644	राजनीतिमा हिंसाको पूर्णत: त्याग असम्भव छ, त्यसो हुनाले प्रयत्न यसमा मात्रै गर्नुपर्छ कि हिंसा सीमित रहोस्‌ ।
Voice645	त्यसपछि फेरि फलामे ढोका लाग्यो; सिक्री बारमा रगडियो; बाक्लो ताल्चा मारियो; र गोडाको आवाज बिस्तारै चिसो माटोमा विलीन हुँदै गयो ।
Voice646	हामी नेपालीले दुखसुख बाटी हरेकलाई सहयोग गर्छौ र गरिबलाई खान,कपडा,घर आदि गरिदिन्छौ,हामी नेपाली दयालु छौ र परिश्रम गरी हरेक काम गर्छौ।
Voice647	ब्यक्तिको अनिन्द्य सौन्दर्य मेधा र प्रतिभा हो भनी पहिले आफ्नै दिमागमा घुसाउँ!! पहिले नारीले नारीलाई सम्मान गर्न सिकौँ!! ।
